"%s coupon code is not valid.","%s couponcode is niet geldig."
"%s","%s"
"%s / %s rate:","%s / %s tarief:"
"%s for %s","%s voor %s"
"%s order(s) cannot be canceled","%s bestelling(en) kunnen niet worden geannuleerd"
"%s order(s) have been canceled.","%s bestelling(en) zijn geannuleerd."
"%s order(s) have been put on hold.","%s bestelling(en) zijn in de wachtstand gezet."
"%s order(s) have been released from holding status.","%s bestelling(en) zijn vrijgelaten uit de wachtstand."
"%s order(s) were not put on hold.","%s bestelling(en) zijn niet in de wacht gezet."
"%s order(s) were not released from holding status.","%s bestelling(en) zijn niet vrijgelaten uit de wachtstand."
"* - Enter custom price excluding tax","* - Vul aangepaste prijs exclusief BTW in"
"* - Enter custom price including tax","* - Vul aangepaste prijs inclusief BTW in"
"-- Please Select --","-- Selecteer --"
"-- Please Select Billing Agreement--","- Selecteer Facturerings overeenkomst -"
"About This Order:","Over deze bestelling:"
"About This Profile:","Over dit profiel:"
"About Your Order","Over uw bestelling"
"Accept Payment","Accepteer Betaling"
"Accept or Deny Payment","Accepteer of Weiger Betaling"
"Account Information","Account Informatie"
"Action","Actie"
"Actions","Acties"
"Activate","Activeer"
"Active","Actief"
"Add","Toevoegen"
"Add Gift Messsage","Voeg boodschap toe"
"Add New Address","Nieuw adres toevoegen"
"Add Order Comments","Voeg commentaar aan bestelling toe"
"Add Products","Voeg Producten toe"
"Add Selected Product(s) to Option","Voeg gekozen product(en) aan optie toe"
"Add Selected Product(s) to Order","Voeg gekozen product(en) aan Bestelling toe"
"Add To Order","Voeg toe aan bestelling"
"Add Tracking Number","Voeg trackingnummer toe"
"Add a gift message for <strong>each gift item</strong>","Voeg een geschenk bericht in voor <strong>elk geschenk item</strong>"
"Add a gift message for the <strong>entire order</strong>","Voeg een geschenk bericht in voor de <strong>gehele bestelling</strong>"
"Add comment to order","Voeg commentaar bij Bestelling toe"
"Add new comment to shipment","Voeg nieuwe commentaar aan zending toe"
"Add new tracking number","Voeg nieuwe tracking-nummer toe"
"Add to Cart","In Winkelwagen"
"Address","Adres"
"Address model is not defined.","Adres model is niet gedefinieerd."
"Adjustment Fee","Aanpassing Fee"
"Adjustment Refund","Aanpassing Restitutie"
"Agreement Information","Overeenkomst Informatie"
"Allow Reorder","Sta opnieuw bestellen toe"
"Amount","Bedrag"
"Amount: %s.","Bedrag: %s."
"An item option with code %s already exists.","Een artikel optie met code %s bestaat reeds."
"Append Comments","Reacties bijvoegen"
"Apply","Toepassen"
"Apply Coupon Code","Pad Coupon Code toe"
"Approved the payment online.","De online betaling is goedgekeurd."
"Are you sure you want to accept this payment?","Weet u zeker dat u deze betaling wilt accepteren?"
"Are you sure you want to cancel this order?","Weet u zeker dat u deze bestelling wilt annuleren?"
"Are you sure you want to deny this payment?","Weet u zeker dat u deze betaling wilt weigeren?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Are you sure you want to send Creditmemo email to customer?","Weet u zeker dat u deze Creditmemo email wilt sturen naar de klant?"
"Are you sure you want to send Invoice email to customer?","Weet u zeker dat u deze Factuur email wilt sturen naar de klant?"
"Are you sure you want to send Shipment email to customer?","Weet u zeker dat u deze Zending email wilt sturen naar de klant?"
"Are you sure you want to send order email to customer?","Weet u zeker dat u deze bestelling email wilt sturen naar de klant?"
"Are you sure you want to void the payment?","Weet u zeker dat u de betaling nietig wilt verklaren?"
"Are you sure?","Weet je het zeker?"
"Are you sure? This order will be canceled and a new one will be created instead","Weet je het zeker? Deze bestelling wordt geannuleerd en een nieuwe zal in plaats daarvan worden aangemaakt"
"At least a payment ID must be set.","Ten minste een betaling ID moet worden vastgesteld."
"Authorization","Authorisatie"
"Authorized amount of %s.","Toegestaan bedrag van %s."
"Authorizing amount of %s is pending approval on gateway.","Toegestaan bedrag van %s is in afwachting van goedkeuring op de gateway."
"Back","Terug"
"Back to Billing Agreements","Terug naar Facturerings Overeenkomsten"
"Back to My Orders","Terug naar Mijn bestellingen"
"Back to Recurring Profiles","Terug naar de Terugkerende Profielen"
"Backordered","Nabesteld"
"Bestsellers","Bestsellers"
"Bill to Name","Factuur op naam"
"Billing","Facturering"
"Billing Address","Factuuradres"
"Billing Agreement","Facturerings overeenkomst"
"Billing Agreement # %s","Facturerings overeenkomst #%s"
"Billing Agreement #%s","Facturerings overeenkomst #%s"
"Billing Agreement View","Facturerings overeenkomst View"
"Billing Agreements","Facturerings Overeenkomsten"
"Buy %s for price %s","Koop %s voor de prijs %s"
"CSV","CSV"
"Cancel","Annuleer"
"Cancel invoice","Factuur annuleren"
"Cancel order","Bestelling annuleren"
"Canceled","Geannuleerd"
"Canceled order offline.","Geannuleerde bestelling offline."
"Canceled order online.","Geannuleerde bestelling online."
"Cannot add order history.","Kan bestellings geschiedenis niet toevoegen."
"Cannot create an empty shipment.","Kan geen lege zending aanmaken."
"Cannot determine the field name.","Kan de veldnaam niet bepalen."
"Cannot do invoice for order.","Kan geen factuur maken voor de bestelling."
"Cannot do shipment for order.","Kan geen verzending doen voor de bestelling"
"Cannot get order instance","Kan bestellings instantie niet verkrijgen"
