"%s days","%s Tage"
"Access denied!","Keinen Zugang!"
"Account Information","Account Information"
"Action is blocked in quote confirmation mode","Aktion ist blokkiert in Anfrage Best\u00e4tigung Status"
"Add to Cart","Bestellen"
"Add to Quote","Anfrage"
"Address","Adresse"
"All items were moved to cart successfully.","Alle Produkte sind erfolgreich auf Palletwagen gestellt"
"Allowed to Quote Mode","Zugelassen zur Anfrage Umgebung"
"Atr. nr.","Art. Nummer"
"Back to My Quotes","Zur\u00fcck nach Meine Anfragen"
"Be advised to enter your comments","H\u00f6r auf; Bemerkungen usw. nur eingeben wann Sie fertig sind im Shop. Alle Information wird eliminiert wann Sie weggehen von diese Pagina. Wann Sie ein Account haben k\u00f6nnen Sie sich jetzt anmelden."
"Billing address wasn't added","Rechnungsadresse ist nicht hinzugef\u00fcgt"
"By deleting an item, you will create a new quote request. Do you want to do this?","Ein Produkt eliminieren macht ein neue Preis Anfrage. Wollen Sie das?"
"Can not add client note request to the product.","Kann Bemerkung nicht hinzuf\u00fcgen an Produkt."
"Can not add customer address.","Kann Adresse nicht hinzuf\u00fcgen."
"Can not add one of the items to quote request.","Kann ein dieser Produkten nicht hinzuf\u00fcgen an Preis Anfrage."
"Cancel","Stornieren"
"Can't remove item","Kann Produkt nicht eliminieren"
"Can't update quote list","Kann Preis Anfrage nicht aktualisieren"
"cart2quote cancel","cart2quote annulieren"
"cart2quote new account","cart2quote Neu Account"
"cart2quote proposal","cart2quote Angebot"
"cart2quote reject","cart2quote ablehnen"
"cart2quote request","cart2quote Anfrage"
"Change to Order mode?","Umschalten nach Bestel Modus?"
"Change to Quotation mode?","Umschalten nach Anfrage Modus?"
"Change to Quote mode?","Umschalten nach Anfrage Modus?"
"Checking..","Kontrolieren..."
"City","Ort"
"Company","Firma"
"Confirm and CheckOut","Best\u00e4tigen und weiter gehen"
"Continue","Weitergehen"
"Continue Shopping","Weiter shoppen"
"Country","Land"
"Customer email already exists. You should login here","Das E-Mail Adresse besteht schon bei uns. Bitte <a href="%s">hier einloggen</a>"
"Date","Datum"
"Date of Proposal","Angebotsdatum"
"Default Address","Standard Adresse"
"Do you have a general remark with your quote request?","Haben Sie ein Bemerkung bei diese Anfrage?"
"Edit Quote","Anfrage bearbeiten"
"Email Address","E-mail Adresse"
"Email already exists","E-Mail Adresse besteht schon"
"Enter your destination to get a shipping quotation","Bitte geben Sie das Adresse ein"
"Enter your details to get a price proposal","Bitte geben Sie Ihre Daten ein f\u00fcr ein Angebot"
"Fax","Fax"
"First Name","Vorname"
"Fixed Shipping & Handling price","Feststehende Versand- und Bearbeitungskosten"
